iuran_low,iuran_high,dasar_penghasilan,jkk,jkm,jht
0,1099000,1000000,10000,6800,20000
1100000,1299000,1200000,12000,6800,24000
1300000,1499000,1400000,14000,6800,28000
1500000,1699000,1600000,16000,6800,32000
1700000,1899000,1800000,18000,6800,36000
1900000,2099000,2000000,20000,6800,40000
2100000,2299000,2200000,22000,6800,44000
2300000,2499000,2400000,24000,6800,48000
2500000,2699000,2600000,26000,6800,52000
2700000,3199000,2950000,29500,6800,59000
3200000,3699000,3450000,34500,6800,69000
3700000,4199000,3950000,39500,6800,79000
4200000,4699000,4450000,44500,6800,89000
4700000,5199000,4950000,49500,6800,99000
5200000,5699000,5450000,54500,6800,109000
5700000,6199000,5950000,59500,6800,119000
6200000,6699000,6450000,64500,6800,129000
6700000,7199000,6950000,69500,6800,139000
7200000,7699000,7450000,74500,6800,149000
7700000,8199000,7950000,79500,6800,159000
8200000,9199000,8700000,87000,6800,174000
9200000,10199000,9700000,97000,6800,194000
10200000,11199000,10700000,107000,6800,214000
11200000,12199000,11700000,117000,6800,234000
12200000,13199000,12700000,127000,6800,254000
13200000,14199000,13700000,137000,6800,274000
14200000,15199000,14700000,147000,6800,294000
15200000,16199000,15700000,157000,6800,314000
16200000,17199000,16700000,167000,6800,334000
17200000,18199000,17700000,177000,6800,354000
18200000,19199000,18200000,182000,6800,364000
19200000,20199000,19200000,192000,6800,384000
